old_filename	new_filename
topol_Protein_chain_0.itp	topol_chain00.itp
topol_Protein_chain_1.itp	topol_chain01.itp
topol_Protein_chain_2.itp	topol_chain02.itp
topol_Protein_chain_3.itp	topol_chain03.itp
topol_Protein_chain_4.itp	topol_chain04.itp
topol_Protein_chain_5.itp	topol_chain05.itp
topol_Protein_chain_6.itp	topol_chain06.itp
topol_Protein_chain_7.itp	topol_chain07.itp
topol_Protein_chain_8.itp	topol_chain08.itp
topol_Protein_chain_9.itp	topol_chain09.itp
topol_Protein_chain_A.itp	topol_chain10.itp
topol_Protein_chain_B.itp	topol_chain11.itp
topol_Protein_chain_C.itp	topol_chain12.itp
topol_Protein_chain_D.itp	topol_chain13.itp
topol_Protein_chain_E.itp	topol_chain14.itp
topol_Protein_chain_F.itp	topol_chain15.itp
topol_Protein_chain_G.itp	topol_chain16.itp
topol_Protein_chain_H.itp	topol_chain17.itp
topol_Protein_chain_I.itp	topol_chain18.itp
topol_Protein_chain_J.itp	topol_chain19.itp
topol_Protein_chain_K.itp	topol_chain20.itp
topol_Protein_chain_L.itp	topol_chain21.itp
topol_Protein_chain_M.itp	topol_chain22.itp
topol_Protein_chain_N.itp	topol_chain23.itp
topol_Protein_chain_O.itp	topol_chain24.itp
topol_Protein_chain_P.itp	topol_chain25.itp
topol_Protein_chain_Q.itp	topol_chain26.itp
topol_Protein_chain_R.itp	topol_chain27.itp
topol_Protein_chain_S.itp	topol_chain28.itp
topol_Protein_chain_T.itp	topol_chain29.itp
topol_Protein_chain_U.itp	topol_chain30.itp
topol_Protein_chain_V.itp	topol_chain31.itp
topol_Protein_chain_W.itp	topol_chain32.itp
topol_Protein_chain_X.itp	topol_chain33.itp
topol_Protein_chain_Y.itp	topol_chain34.itp
topol_Protein_chain_Z.itp	topol_chain35.itp
topol_Protein_chain_a.itp	topol_chain36.itp
topol_Protein_chain_b.itp	topol_chain37.itp
topol_Protein_chain_c.itp	topol_chain38.itp
topol_Protein_chain_d.itp	topol_chain39.itp
topol_Protein_chain_e.itp	topol_chain40.itp
topol_Protein_chain_f.itp	topol_chain41.itp
topol_Protein_chain_g.itp	topol_chain42.itp
topol_Protein_chain_h.itp	topol_chain43.itp
topol_Protein_chain_i.itp	topol_chain44.itp
topol_Protein_chain_j.itp	topol_chain45.itp
topol_Protein_chain_k.itp	topol_chain46.itp
topol_Protein_chain_l.itp	topol_chain47.itp
topol_Protein_chain_m.itp	topol_chain48.itp
topol_Protein_chain_n.itp	topol_chain49.itp
topol_Protein_chain_o.itp	topol_chain50.itp
topol_Protein_chain_p.itp	topol_chain51.itp
topol_Protein_chain_q.itp	topol_chain52.itp
topol_Protein_chain_r.itp	topol_chain53.itp
topol_Protein_chain_s.itp	topol_chain54.itp
topol_Protein_chain_t.itp	topol_chain55.itp
topol_Protein_chain_u.itp	topol_chain56.itp
topol_Protein_chain_v.itp	topol_chain57.itp
topol_Protein_chain_w.itp	topol_chain58.itp
topol_Protein_chain_x.itp	topol_chain59.itp
posre_Protein_chain_0.itp	posre_chain00.itp
posre_Protein_chain_1.itp	posre_chain01.itp
posre_Protein_chain_2.itp	posre_chain02.itp
posre_Protein_chain_3.itp	posre_chain03.itp
posre_Protein_chain_4.itp	posre_chain04.itp
posre_Protein_chain_5.itp	posre_chain05.itp
posre_Protein_chain_6.itp	posre_chain06.itp
posre_Protein_chain_7.itp	posre_chain07.itp
posre_Protein_chain_8.itp	posre_chain08.itp
posre_Protein_chain_9.itp	posre_chain09.itp
posre_Protein_chain_A.itp	posre_chain10.itp
posre_Protein_chain_B.itp	posre_chain11.itp
posre_Protein_chain_C.itp	posre_chain12.itp
posre_Protein_chain_D.itp	posre_chain13.itp
posre_Protein_chain_E.itp	posre_chain14.itp
posre_Protein_chain_F.itp	posre_chain15.itp
posre_Protein_chain_G.itp	posre_chain16.itp
posre_Protein_chain_H.itp	posre_chain17.itp
posre_Protein_chain_I.itp	posre_chain18.itp
posre_Protein_chain_J.itp	posre_chain19.itp
posre_Protein_chain_K.itp	posre_chain20.itp
posre_Protein_chain_L.itp	posre_chain21.itp
posre_Protein_chain_M.itp	posre_chain22.itp
posre_Protein_chain_N.itp	posre_chain23.itp
posre_Protein_chain_O.itp	posre_chain24.itp
posre_Protein_chain_P.itp	posre_chain25.itp
posre_Protein_chain_Q.itp	posre_chain26.itp
posre_Protein_chain_R.itp	posre_chain27.itp
posre_Protein_chain_S.itp	posre_chain28.itp
posre_Protein_chain_T.itp	posre_chain29.itp
posre_Protein_chain_U.itp	posre_chain30.itp
posre_Protein_chain_V.itp	posre_chain31.itp
posre_Protein_chain_W.itp	posre_chain32.itp
posre_Protein_chain_X.itp	posre_chain33.itp
posre_Protein_chain_Y.itp	posre_chain34.itp
posre_Protein_chain_Z.itp	posre_chain35.itp
posre_Protein_chain_a.itp	posre_chain36.itp
posre_Protein_chain_b.itp	posre_chain37.itp
posre_Protein_chain_c.itp	posre_chain38.itp
posre_Protein_chain_d.itp	posre_chain39.itp
posre_Protein_chain_e.itp	posre_chain40.itp
posre_Protein_chain_f.itp	posre_chain41.itp
posre_Protein_chain_g.itp	posre_chain42.itp
posre_Protein_chain_h.itp	posre_chain43.itp
posre_Protein_chain_i.itp	posre_chain44.itp
posre_Protein_chain_j.itp	posre_chain45.itp
posre_Protein_chain_k.itp	posre_chain46.itp
posre_Protein_chain_l.itp	posre_chain47.itp
posre_Protein_chain_m.itp	posre_chain48.itp
posre_Protein_chain_n.itp	posre_chain49.itp
posre_Protein_chain_o.itp	posre_chain50.itp
posre_Protein_chain_p.itp	posre_chain51.itp
posre_Protein_chain_q.itp	posre_chain52.itp
posre_Protein_chain_r.itp	posre_chain53.itp
posre_Protein_chain_s.itp	posre_chain54.itp
posre_Protein_chain_t.itp	posre_chain55.itp
posre_Protein_chain_u.itp	posre_chain56.itp
posre_Protein_chain_v.itp	posre_chain57.itp
posre_Protein_chain_w.itp	posre_chain58.itp
posre_Protein_chain_x.itp	posre_chain59.itp
